Date	Venue	Field	Start	End	League	Home Team	Away Team	Referee	Lineman	Field Judge	Side Judge
2024-06-08	Bienna	Field 2	15:10	16:10	HARWY CSW	CSW Chaux de Fonds Hornets	CSW Lugano Rebels	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers
2024-06-08	Bienna	Field 2	16:20	17:20	HARWY CSW	CSW Aemme Buzzards II	CSW Thun Tigers	B Rafz Bulldogs A	B Rafz Bulldogs A	B Rafz Bulldogs A	B Rafz Bulldogs A
2024-06-08	Bienna	Field 2	17:30	18:30	U13	U13 Calanda Broncos	U13 Thun Tigers	CSW Aemme Buzzards II	CSW Aemme Buzzards II	CSW Aemme Buzzards II	CSW Aemme Buzzards II
2024-06-08	Bienna	Field 3	9:20	10:20	U13	U13 Langenthal Invaders	U13 Chaux de Fonds Hornets	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos
2024-06-08	Bienna	Field 3	10:30	11:30	U13	U13 Winterthur Warriors	U13 Fraumatt Legions Black	CSW Lugano Rebels	CSW Lugano Rebels	CSW Lugano Rebels	U13 Langenthal Invaders
2024-06-08	Bienna	Field 3	11:40	12:40	U13	U13 Lake Zurich Red Scorpions	U13 Rafz Bulldogs	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich
2024-06-08	Bienna	Field 3	12:50	13:50	U13	U13 Calanda Broncos	U13 Fraumatt Legions Black	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black	U13 Winterthur Warriors
2024-06-08	Bienna	Field 3	14:00	15:00	U13	U13 Chaux de Fonds Hornets	U13 Fraumatt Legions Red	B Midland Bouncers	CSW Chaux de Fonds Hornets	CSW Chaux de Fonds Hornets	CSW Chaux de Fonds Hornets
2024-06-08	Bienna	Field 3	15:10	16:10	U13	U13 Lake Zurich Red Scorpions	U13 Langenthal Invaders	B Basel Spartans Yellow	B Basel Spartans Yellow	B Basel Spartans Yellow	U13 Thun Tigers
2024-06-08	Bienna	Field 3	16:20	17:20	U13	U13 Zurich Renegades	U13 Fraumatt Legions Red	B Bienna Jets OG's	B Bienna Jets OG's	U13 Bienna Jets	U13 Calanda Broncos
2024-06-08	Bienna	Field 3	17:30	18:30	U13	U13 Bienna Jets	U13 Rafz Bulldogs	CSW Thun Tigers	CSW Thun Tigers	CSW Thun Tigers	CSW Thun Tigers
2024-06-08	Luzern	Field 1	9:20	10:20	W	W ASVZ Nightbirds	W Zurich Renegades W	W Winterthur Warriors	W Winterthur Warriors	W Winterthur Warriors	W Winterthur Warriors
2024-06-08	Luzern	Field 1	10:30	11:30	W	W Geneva Seahawks	W Neuchâtel Knights	W ASVZ Nightbirds	W ASVZ Nightbirds	W ASVZ Nightbirds	W ASVZ Nightbirds
2024-06-08	Luzern	Field 1	11:40	12:40	W	W Lugano Rebels	W Winterthur Warriors	W Geneva Seahawks	W Geneva Seahawks	W Geneva Seahawks	W Geneva Seahawks
2024-06-08	Luzern	Field 1	12:50	13:50	W	W ASVZ Nightbirds	W SG Calanda Broncos St. Gallen Bears	W Zurich Renegades W	W Zurich Renegades W	W Zurich Renegades W	W Zurich Renegades W
2024-06-08	Luzern	Field 1	14:00	15:00	W	W Neuchâtel Knights	W Lugano Rebels	W SG Calanda Broncos St. Gallen Bears	W SG Calanda Broncos St. Gallen Bears	W SG Calanda Broncos St. Gallen Bears	W SG Calanda Broncos St. Gallen Bears
2024-06-08	Luzern	Field 1	15:10	16:10	W	W Winterthur Warriors	W Zurich Renegades W	W Neuchâtel Knights	W Neuchâtel Knights	W Neuchâtel Knights	W Neuchâtel Knights
2024-06-08	Luzern	Field 1	16:20	17:20	W	W SG Calanda Broncos St. Gallen Bears	W Geneva Seahawks	W Neuchâtel Knights	W Lugano Rebels	W Lugano Rebels	W Lugano Rebels
2024-06-08	Luzern	Field 2	9:20	10:20	HARWY A	A Luzern Pikes	A Midland Bouncers	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold
2024-06-08	Luzern	Field 2	11:40	12:40	HARWY A	A Midland Bouncers	A Basel Spartans Navy	A ASVZ Mockingbirds	A ASVZ Mockingbirds	A ASVZ Mockingbirds	A ASVZ Mockingbirds
2024-06-08	Luzern	Field 2	15:10	16:10	HARWY A	A ASVZ Blackbirds	A Basel Spartans Navy	A Midland Bouncers	A Midland Bouncers	A Midland Bouncers	A Midland Bouncers
2024-06-08	Luzern	Field 3	9:20	10:20	HARWY A	A ASVZ Blackbirds	A ASVZ Mockingbirds	Andreas Capeder	A Winterthur Warriors Gold	A Winterthur Warriors Gold	A Winterthur Warriors Gold
2024-06-08	Luzern	Field 3	10:30	11:30	HARWY A	A Winterthur Warriors Gold	A Blackbucks Uni Bern Gold	A ASVZ Blackbirds	A ASVZ Blackbirds	A ASVZ Blackbirds	A ASVZ Blackbirds
2024-06-08	Luzern	Field 3	11:40	12:40	HARWY A	A Luzern Pikes	A Zurich Renegades A	Andreas Capeder	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold
2024-06-08	Luzern	Field 3	12:50	13:50	HARWY A	A ASVZ Blackbirds	A Winterthur Warriors Gold	Andreas Capeder	A Basel Spartans Navy	A Basel Spartans Navy	A Basel Spartans Navy
2024-06-08	Luzern	Field 3	14:00	15:00	HARWY A	A ASVZ Mockingbirds	A Zurich Renegades A	A Luzern Pikes	A Luzern Pikes	A Luzern Pikes	A Luzern Pikes
2024-06-08	Luzern	Field 3	15:10	16:10	HARWY A	A Luzern Pikes	A Blackbucks Uni Bern Gold	Andreas Capeder	A ASVZ Mockingbirds	A ASVZ Mockingbirds	A ASVZ Mockingbirds
